1 ===>  1Forge Finance APIs  ===> 1forge finance
2 ===>  ACE Provisioning ManagementPartner  ===> ace provisioning managementpartner
3 ===>  ADHybridHealthService  ===> adhybridhealthservice
4 ===>  AGCO API  ===> agco
5 ===>  AI Platform Training & Prediction API  ===> ai platform training & prediction
6 ===>  AIception Interactive  ===> aiception interactive
7 ===>  API Discovery Service  ===> api discovery
8 ===>  API for the COVID-19 Tracking QR Code Signin Server.  ===> api for the covid-19 tracking qr code signin server
9 ===>  API iSendPro  ===> api isendpro
10 ===>  API title  ===> api title
11 ===>  APIMATIC API Transformer  ===> apimatic api transformer
12 ===>  ATM Locator API  ===> atm locator
13 ===>  AWS Amplify  ===> aws amplify
14 ===>  AWS App Mesh  ===> aws app mesh
15 ===>  AWS AppSync  ===> aws appsync
16 ===>  AWS Application Discovery Service  ===> aws application discovery
17 ===>  AWS Auto Scaling Plans  ===> aws auto scaling plans
18 ===>  AWS Backup  ===> aws backup
19 ===>  AWS Batch  ===> aws batch
20 ===>  AWS Budgets  ===> aws budgets
21 ===>  AWS Certificate Manager  ===> aws certificate manager
22 ===>  AWS Certificate Manager Private Certificate Authority  ===> aws certificate manager private certificate authority
23 ===>  AWS Cloud Map  ===> aws cloud map
24 ===>  AWS Cloud9  ===> aws cloud9
25 ===>  AWS CloudFormation  ===> aws cloudformation
26 ===>  AWS CloudHSM V2  ===> aws cloudhsm v2
27 ===>  AWS CloudTrail  ===> aws cloudtrail
28 ===>  AWS CodeBuild  ===> aws codebuild
29 ===>  AWS CodeCommit  ===> aws codecommit
30 ===>  AWS CodeDeploy  ===> aws codedeploy
31 ===>  AWS CodePipeline  ===> aws codepipeline
32 ===>  AWS CodeStar  ===> aws codestar
33 ===>  AWS CodeStar Notifications  ===> aws codestar notifications
34 ===>  AWS CodeStar connections  ===> aws codestar connections
35 ===>  AWS Comprehend Medical  ===> aws comprehend medical
36 ===>  AWS Compute Optimizer  ===> aws compute optimizer
37 ===>  AWS Config  ===> aws config
38 ===>  AWS Cost Explorer Service  ===> aws cost explorer
39 ===>  AWS Cost and Usage Report Service  ===> aws cost and usage report
40 ===>  AWS Data Exchange  ===> aws data exchange
41 ===>  AWS Data Pipeline  ===> aws data pipeline
42 ===>  AWS DataSync  ===> aws datasync
43 ===>  AWS Database Migration Service  ===> aws database migration
44 ===>  AWS Device Farm  ===> aws device farm
45 ===>  AWS Direct Connect  ===> aws direct connect
46 ===>  AWS Directory Service  ===> aws directory
47 ===>  AWS EC2 Instance Connect  ===> aws ec2 instance connect
48 ===>  AWS Elastic Beanstalk  ===> aws elastic beanstalk
49 ===>  AWS Elemental MediaConvert  ===> aws elemental mediaconvert
50 ===>  AWS Elemental MediaLive  ===> aws elemental medialive
51 ===>  AWS Elemental MediaPackage  ===> aws elemental mediapackage
52 ===>  AWS Elemental MediaPackage VOD  ===> aws elemental mediapackage vod
53 ===>  AWS Elemental MediaStore  ===> aws elemental mediastore
54 ===>  AWS Elemental MediaStore Data Plane  ===> aws elemental mediastore data plane
55 ===>  AWS Global Accelerator  ===> aws global accelerator
56 ===>  AWS Glue  ===> aws glue
57 ===>  AWS Greengrass  ===> aws greengrass
58 ===>  AWS Ground Station  ===> aws ground station
59 ===>  AWS Health APIs and Notifications  ===> aws health apis and notifications
60 ===>  AWS Identity and Access Management  ===> aws identity and access management
61 ===>  AWS IoT 1-Click Devices Service  ===> aws iot 1-click devices
62 ===>  AWS IoT 1-Click Projects Service  ===> aws iot 1-click projects
63 ===>  AWS IoT  ===> aws iot
64 ===>  AWS IoT Analytics  ===> aws iot analytics
65 ===>  AWS IoT Data Plane  ===> aws iot data plane
66 ===>  AWS IoT Events  ===> aws iot events
67 ===>  AWS IoT Events Data  ===> aws iot events data
68 ===>  AWS IoT Jobs Data Plane  ===> aws iot jobs data plane
69 ===>  AWS IoT Secure Tunneling  ===> aws iot secure tunneling
