1 ===>  1Forge Finance APIs  ===> 1forge finance
2 ===>  ACE Provisioning ManagementPartner  ===> ace provisioning managementpartner
3 ===>  ADHybridHealthService  ===> adhybridhealthservice
4 ===>  AGCO API  ===> agco
5 ===>  AI Platform Training & Prediction API  ===> ai platform training & prediction
6 ===>  AIception Interactive  ===> aiception interactive
7 ===>  API Discovery Service  ===> api discovery
8 ===>  API Endpoints  ===> api endpoints
9 ===>  API for the COVID-19 Tracking QR Code Signin Server.  ===> api for the covid-19 tracking qr code signin server
10 ===>  API for the Settlement Currency Rate converter  ===> api for the settlement currency rate converter
11 ===>  API iSendPro  ===> api isendpro
12 ===>  API title  ===> api title
13 ===>  APIMATIC API Transformer  ===> apimatic api transformer
14 ===>  APIs.guru  ===> apis.guru
15 ===>  ART19 Content  ===> art19 content
16 ===>  ATM Locator API  ===> atm locator
17 ===>  AWS Amplify  ===> aws amplify
18 ===>  AWS App Mesh  ===> aws app mesh
19 ===>  AWS AppSync  ===> aws appsync
20 ===>  AWS Application Discovery Service  ===> aws application discovery
21 ===>  AWS Auto Scaling Plans  ===> aws auto scaling plans
22 ===>  AWS Backup  ===> aws backup
23 ===>  AWS Batch  ===> aws batch
24 ===>  AWS Budgets  ===> aws budgets
25 ===>  AWS Certificate Manager  ===> aws certificate manager
26 ===>  AWS Certificate Manager Private Certificate Authority  ===> aws certificate manager private certificate authority
27 ===>  AWS Cloud Map  ===> aws cloud map
28 ===>  AWS Cloud9  ===> aws cloud9
29 ===>  AWS CloudFormation  ===> aws cloudformation
30 ===>  AWS CloudHSM V2  ===> aws cloudhsm v2
31 ===>  AWS CloudTrail  ===> aws cloudtrail
32 ===>  AWS CodeBuild  ===> aws codebuild
33 ===>  AWS CodeCommit  ===> aws codecommit
34 ===>  AWS CodeDeploy  ===> aws codedeploy
35 ===>  AWS CodePipeline  ===> aws codepipeline
36 ===>  AWS CodeStar  ===> aws codestar
37 ===>  AWS CodeStar Notifications  ===> aws codestar notifications
38 ===>  AWS CodeStar connections  ===> aws codestar connections
39 ===>  AWS Comprehend Medical  ===> aws comprehend medical
40 ===>  AWS Compute Optimizer  ===> aws compute optimizer
41 ===>  AWS Config  ===> aws config
42 ===>  AWS Cost Explorer Service  ===> aws cost explorer
43 ===>  AWS Cost and Usage Report Service  ===> aws cost and usage report
44 ===>  AWS Data Exchange  ===> aws data exchange
45 ===>  AWS Data Pipeline  ===> aws data pipeline
46 ===>  AWS DataSync  ===> aws datasync
47 ===>  AWS Database Migration Service  ===> aws database migration
48 ===>  AWS Device Farm  ===> aws device farm
49 ===>  AWS Direct Connect  ===> aws direct connect
50 ===>  AWS Directory Service  ===> aws directory
51 ===>  AWS EC2 Instance Connect  ===> aws ec2 instance connect
52 ===>  AWS Elastic Beanstalk  ===> aws elastic beanstalk
53 ===>  AWS Elemental MediaConvert  ===> aws elemental mediaconvert
54 ===>  AWS Elemental MediaLive  ===> aws elemental medialive
55 ===>  AWS Elemental MediaPackage  ===> aws elemental mediapackage
56 ===>  AWS Elemental MediaPackage VOD  ===> aws elemental mediapackage vod
57 ===>  AWS Elemental MediaStore  ===> aws elemental mediastore
58 ===>  AWS Elemental MediaStore Data Plane  ===> aws elemental mediastore data plane
59 ===>  AWS Global Accelerator  ===> aws global accelerator
60 ===>  AWS Glue  ===> aws glue
61 ===>  AWS Greengrass  ===> aws greengrass
62 ===>  AWS Ground Station  ===> aws ground station
63 ===>  AWS Health APIs and Notifications  ===> aws health apis and notifications
64 ===>  AWS Identity and Access Management  ===> aws identity and access management
65 ===>  AWS IoT 1-Click Devices Service  ===> aws iot 1-click devices
66 ===>  AWS IoT 1-Click Projects Service  ===> aws iot 1-click projects
67 ===>  AWS IoT  ===> aws iot
68 ===>  AWS IoT Analytics  ===> aws iot analytics
69 ===>  AWS IoT Data Plane  ===> aws iot data plane
70 ===>  AWS IoT Events  ===> aws iot events
